年度,対象町丁数,平均変化率(%),変化率標準偏差(%),最大増加率(%),最大減少率(%),激増件数,大幅増加件数,激減件数,大幅減少件数,変化なし件数,自然増減件数
1999,569,0.2682274156907596,5.563786677875277,38.46153846153847,-43.13725490196079,0,2,0,1,12,554
2000,569,0.7427105069256565,18.95898192237159,413.09523809523813,-95.26184538653366,1,5,0,1,15,547
2001,569,0.6646331665402365,12.11989136908314,183.33333333333331,-98.30508474576271,1,6,0,3,20,539
2002,569,0.9007067159424651,11.625987544424909,245.83333333333334,-25.0,1,2,0,0,18,548
2003,569,-0.0520731163967925,7.134616624486901,47.82608695652174,-98.27044025157232,0,4,0,2,12,551
2004,569,-0.23524111849678486,6.986151556948624,60.53268765133172,-91.41075604053,0,2,0,1,11,555
2005,569,0.14865732902820786,5.270251497082387,58.77437325905292,-18.51851851851852,0,3,0,0,16,550
2006,569,1.3953829655523673,21.78977936646515,437.3239436619718,-50.40650406504065,3,4,0,2,13,547
2007,569,0.43386955632317603,6.836314640632792,75.86206896551724,-22.950819672131146,0,4,0,0,13,552
2008,569,0.06028649185321446,9.74066062820953,129.7872340425532,-85.05154639175258,1,4,0,2,19,543
2009,569,-0.026143895394975164,8.466993634099392,130.92269326683294,-95.79918032786885,1,1,0,2,12,553
2010,569,-0.2860345526726512,7.383773333915667,59.09090909090909,-86.39303482587066,0,1,0,3,20,545
2011,569,0.0002413759360944299,6.404017995013932,93.98496240601504,-58.54309687261632,0,1,0,2,19,547
2012,569,0.3302760284923545,5.278250900393301,60.49382716049383,-22.727272727272727,0,3,0,0,21,545
2013,569,1.496943800372686,35.719005755745385,775.0,-95.6479217603912,3,1,0,9,14,542
2014,569,0.9786253213132305,12.380609263332769,222.41379310344826,-31.132075471698112,2,3,0,1,16,547
2015,569,0.3637426435443558,6.623508095619745,109.75609756097562,-23.91304347826087,1,1,0,0,11,556
2016,569,0.23921807540570256,5.768762095066081,60.97560975609756,-17.647058823529413,0,3,0,0,14,552
2017,569,-0.7110942679117725,5.556802187517322,40.34653465346535,-36.17021276595745,0,1,0,1,11,556
2018,569,0.29353199541768693,5.479914979077511,70.39106145251397,-16.666666666666664,0,2,0,0,21,546
2019,569,0.009893230880103033,11.330962365045957,242.3076923076923,-25.0,1,0,0,0,22,546
2020,569,1.0141729701548667,22.391339366885553,509.99999999999994,-31.007751937984494,1,4,0,1,8,555
2021,569,-0.014346409007587482,5.454092747784302,45.45454545454545,-25.842696629213485,0,3,0,0,17,549
2022,569,-0.607348860037983,7.880975130967229,145.45454545454547,-70.10309278350515,1,0,0,2,20,546
2023,569,0.009850534111368221,6.059211829550273,80.0,-23.636363636363637,0,3,0,0,20,546
2024,569,0.037771576021460536,4.575393707352638,58.82352941176471,-31.717171717171716,0,1,0,1,30,537
2025,569,0.051593704271517854,6.797706306682816,122.91666666666667,-15.384615384615385,1,1,0,0,24,543
